feedback_id,user_id,feedback_timestamp,rating_1_to_5,sentiment_label,barrier_category,free_text_feedback,feature_name,would_recommend_flag
FB000057,U00043,2026-02-27 14:44:08,2,Negative,Unsure what use cases are allowed,Guidance on approved use cases for Northstar Assist could be clearer.,Chat and Research,False
FB000058,U00045,2026-06-09 09:26:05,4,Positive,Privacy or compliance concern,I'd like clearer confirmation that Document Summarization is approved for use with client information.,Document Summarization,True
FB000059,U00046,2026-06-10 16:05:11,4,Positive,No barrier reported,Northstar Assist has been a great time-saver for my day-to-day work.,,False
FB000060,U00048,2026-06-10 09:53:16,5,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Code Assistant.",Code Assistant,True
FB000061,U00048,2026-06-12 21:41:23,2,Negative,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Knowledge Search,False
FB000062,U00049,2026-05-23 19:34:13,3,Neutral,Hard to find the right feature,The menu of features isn't very intuitive; I didn't know Northstar Assist existed until a colleague mentioned it.,,True
FB000063,U00049,2026-06-13 16:00:57,5,Positive,No barrier reported,No issues to report — Data Analysis works well for what I need.,Data Analysis,True
FB000064,U00051,2026-05-23 11:39:19,3,Neutral,Hard to find the right feature,The menu of features isn't very intuitive; I didn't know Document Summarization existed until a colleague mentioned it.,Document Summarization,True
FB000065,U00051,2026-05-06 16:04:22,1,Negative,No time to learn,Between meetings and deadlines I haven't found the time to explore Knowledge Search.,Knowledge Search,False
FB000066,U00051,2026-04-14 15:30:31,5,Positive,Tool performance issue,I ran into an error using Chat and Research and had to restart my session.,Chat and Research,True
FB000067,U00052,2026-05-18 12:41:11,3,Neutral,Unsure what use cases are allowed,Guidance on approved use cases for Northstar Assist could be clearer.,Chat and Research,False
FB000068,U00052,2026-06-14 17:03:06,3,Neutral,Lack of relevant training,More role-specific training on Code Assistant would help me use it with confidence.,Code Assistant,False
FB000069,U00055,2026-04-20 12:47:59,3,Neutral,Unsure what use cases are allowed,Guidance on approved use cases for Northstar Assist could be clearer.,,True
FB000070,U00056,2026-03-24 15:10:57,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Meeting Notes.",Meeting Notes,True
FB000071,U00057,2026-06-11 14:56:20,2,Negative,Privacy or compliance concern,I'd like clearer confirmation that Northstar Assist is approved for use with client information.,,False
FB000072,U00058,2026-04-29 17:42:39,4,Positive,Privacy or compliance concern,I'd like clearer confirmation that Northstar Assist is approved for use with client information.,,True
FB000073,U00058,2026-05-22 12:10:00,3,Neutral,No time to learn,,Knowledge Search,False
FB000074,U00059,2026-06-14 17:07:38,3,Neutral,Privacy or compliance concern,I'd like clearer confirmation that Meeting Notes is approved for use with client information.,Meeting Notes,False
FB000075,U00059,2026-04-04 12:01:34,4,Positive,No barrier reported,Meeting Notes has been a great time-saver for my day-to-day work.,Meeting Notes,True
FB000076,U00059,2026-06-05 16:32:56,3,Neutral,Unsure what use cases are allowed,I'm not always clear on what I'm allowed to use Chat and Research for in client-facing work.,Chat and Research,True
FB000077,U00060,2026-05-05 13:09:10,2,Negative,Low output quality,Code Assistant sometimes gives generic answers that don't fit our context.,Code Assistant,False
FB000078,U00061,2026-04-23 22:34:33,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Northstar Assist.",,True
FB000079,U00061,2026-05-28 15:48:11,3,Neutral,No time to learn,Between meetings and deadlines I haven't found the time to explore Northstar Assist.,,False
FB000080,U00063,2026-02-27 13:41:52,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Northstar Assist.",,True
FB000081,U00065,2026-03-20 08:06:15,3,Neutral,Privacy or compliance concern,I'm cautious about what data I put into Meeting Notes given compliance requirements.,Meeting Notes,False
FB000082,U00066,2026-05-17 16:30:57,4,Positive,No barrier reported,No issues to report — Northstar Assist works well for what I need.,,False
FB000083,U00067,2026-04-14 11:32:10,3,Neutral,No barrier reported,"Really happy with Northstar Assist overall, especially Code Assistant.",Code Assistant,False
FB000084,U00067,2026-05-01 13:17:54,4,Positive,No barrier reported,Northstar Assist has been a great time-saver for my day-to-day work.,,True
FB000085,U00067,2026-03-28 10:42:17,5,Positive,No barrier reported,No issues to report — Code Assistant works well for what I need.,Code Assistant,True
FB000086,U00068,2026-06-02 14:27:40,3,Neutral,Hard to find the right feature,It took me a while to figure out that Document Summarization was the right tool for what I needed.,Document Summarization,False
FB000087,U00069,2026-02-09 10:20:23,3,Negative,Low output quality,Drafting Assistant sometimes gives generic answers that don't fit our context.,Drafting Assistant,False
FB000088,U00072,2026-05-27 21:35:25,3,Neutral,No barrier reported,No issues to report — Meeting Notes works well for what I need.,Meeting Notes,False
FB000089,U00072,2026-06-05 15:36:53,4,Positive,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Knowledge Search,True
FB000090,U00072,2026-04-18 09:30:48,3,Positive,Tool performance issue,Drafting Assistant was slow to respond a few times this week.,Drafting Assistant,True
FB000091,U00073,2026-06-16 08:30:29,3,Neutral,Hard to find the right feature,It took me a while to figure out that Northstar Assist was the right tool for what I needed.,,False
FB000092,U00073,2026-06-19 21:59:55,4,Positive,No barrier reported,No issues to report — Northstar Assist works well for what I need.,,True
FB000093,U00075,2026-05-03 13:07:28,4,Positive,No barrier reported,Meeting Notes has been a great time-saver for my day-to-day work.,Meeting Notes,True
FB000094,U00078,2026-06-11 13:25:49,3,Neutral,Privacy or compliance concern,I'd like clearer confirmation that Northstar Assist is approved for use with client information.,,False
FB000095,U00078,2026-05-18 12:24:46,5,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Code Assistant.",Code Assistant,True
FB000096,U00079,2026-02-09 16:10:50,5,Positive,No barrier reported,No issues to report — Meeting Notes works well for what I need.,Meeting Notes,True
FB000097,U00080,2026-05-20 16:41:09,4,Positive,No barrier reported,No issues to report — Knowledge Search works well for what I need.,Knowledge Search,True
FB000098,U00081,2026-06-08 20:06:40,5,Positive,Low output quality,Document Summarization sometimes gives generic answers that don't fit our context.,Document Summarization,False
FB000099,U00081,2026-05-13 16:46:49,4,Negative,No barrier reported,No issues to report — Document Summarization works well for what I need.,Document Summarization,True
FB000100,U00081,2026-05-14 11:03:35,3,Neutral,No barrier reported,No issues to report — Meeting Notes works well for what I need.,Meeting Notes,False
FB000101,U00082,2026-05-29 13:41:11,3,Neutral,No time to learn,Between meetings and deadlines I haven't found the time to explore Prompt Library.,Prompt Library,True
FB000102,U00082,2026-05-11 14:06:24,2,Negative,Low output quality,,Document Summarization,False
FB000103,U00085,2026-02-10 17:10:46,3,Neutral,Lack of relevant training,More role-specific training on Northstar Assist would help me use it with confidence.,,True
FB000104,U00086,2026-01-31 12:05:07,3,Neutral,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Meeting Notes,True
FB000105,U00087,2026-04-28 11:42:28,3,Neutral,Privacy or compliance concern,I'm cautious about what data I put into Northstar Assist given compliance requirements.,,False
FB000106,U00087,2026-05-04 14:32:13,4,Positive,No barrier reported,Northstar Assist has been a great time-saver for my day-to-day work.,,True
FB000107,U00088,2026-03-23 09:07:20,3,Neutral,Lack of relevant training,More role-specific training on Northstar Assist would help me use it with confidence.,,True
FB000108,U00088,2026-04-10 17:23:50,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Data Analysis.",Data Analysis,True
FB000109,U00091,2026-05-23 16:17:48,4,Positive,Lack of relevant training,The training I received didn't cover how Document Summarization applies to my day-to-day role.,Document Summarization,True
FB000110,U00091,2026-06-17 12:06:26,3,Neutral,No barrier reported,,Chat and Research,False
FB000111,U00091,2026-04-08 09:49:02,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Knowledge Search.",Knowledge Search,True
FB000112,U00092,2026-06-01 12:43:14,3,Neutral,No barrier reported,Prompt Library has been a great time-saver for my day-to-day work.,Prompt Library,False
FB000113,U00092,2026-06-12 09:18:12,3,Neutral,Lack of relevant training,More role-specific training on Northstar Assist would help me use it with confidence.,,False
FB000114,U00092,2026-05-30 15:33:27,5,Positive,No barrier reported,Chat and Research has been a great time-saver for my day-to-day work.,Chat and Research,True
FB000115,U00093,2026-06-18 10:48:40,3,Neutral,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,,True
FB000116,U00096,2026-04-22 14:21:34,3,Neutral,Lack of relevant training,More role-specific training on Data Analysis would help me use it with confidence.,Data Analysis,True
FB000117,U00096,2026-04-01 09:22:29,5,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Chat and Research.",Chat and Research,True
FB000118,U00098,2026-06-20 12:43:25,5,Positive,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Knowledge Search,True
FB000119,U00098,2026-04-18 11:13:34,4,Positive,Low output quality,,Code Assistant,False
FB000120,U00101,2026-06-15 13:28:21,3,Neutral,Unsure what use cases are allowed,I'm not always clear on what I'm allowed to use Prompt Library for in client-facing work.,Prompt Library,False
FB000121,U00102,2026-04-12 14:56:55,3,Neutral,Low output quality,The output from Chat and Research needed a lot of editing before it was usable.,Chat and Research,False
FB000122,U00103,2026-06-14 08:02:39,3,Neutral,No time to learn,Between meetings and deadlines I haven't found the time to explore Drafting Assistant.,Drafting Assistant,False
FB000123,U00103,2026-04-28 08:06:42,4,Positive,No barrier reported,No issues to report — Northstar Assist works well for what I need.,,True
FB000124,U00104,2026-05-15 11:35:37,5,Positive,No barrier reported,Meeting Notes has been a great time-saver for my day-to-day work.,Meeting Notes,True
FB000125,U00105,2026-05-13 08:18:59,5,Positive,No barrier reported,No issues to report — Code Assistant works well for what I need.,Code Assistant,True
FB000126,U00105,2026-02-23 18:17:27,4,Positive,No barrier reported,No issues to report — Drafting Assistant works well for what I need.,Drafting Assistant,True
FB000127,U00105,2026-04-11 17:33:21,3,Neutral,Lack of relevant training,The training I received didn't cover how Northstar Assist applies to my day-to-day role.,,True
FB000128,U00106,2026-05-20 12:46:55,4,Positive,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Code Assistant,True
FB000129,U00108,2026-06-14 16:05:56,2,Negative,Low output quality,Drafting Assistant sometimes gives generic answers that don't fit our context.,Drafting Assistant,False
FB000130,U00108,2026-06-19 09:29:06,4,Positive,Tool performance issue,I ran into an error using Prompt Library and had to restart my session.,Prompt Library,True
FB000131,U00110,2026-06-19 20:49:48,5,Positive,No barrier reported,No issues to report — Drafting Assistant works well for what I need.,Drafting Assistant,True
FB000132,U00110,2026-06-18 10:56:09,3,Neutral,Low output quality,The output from Document Summarization needed a lot of editing before it was usable.,Document Summarization,False
FB000133,U00113,2026-05-04 13:03:02,5,Positive,No barrier reported,Prompt Library has been a great time-saver for my day-to-day work.,Prompt Library,True
FB000134,U00115,2026-04-28 17:19:22,4,Positive,Tool performance issue,I ran into an error using Document Summarization and had to restart my session.,Document Summarization,True
FB000135,U00116,2026-05-27 10:57:07,5,Positive,No barrier reported,No issues to report — Data Analysis works well for what I need.,Data Analysis,True
FB000136,U00116,2026-04-18 17:23:08,5,Positive,Lack of relevant training,The training I received didn't cover how Drafting Assistant applies to my day-to-day role.,Drafting Assistant,True
FB000137,U00117,2026-05-27 14:40:37,3,Neutral,No barrier reported,No issues to report — Knowledge Search works well for what I need.,Knowledge Search,False
FB000138,U00117,2026-05-23 13:37:03,5,Positive,No barrier reported,No issues to report — Chat and Research works well for what I need.,Chat and Research,True
FB000139,U00119,2026-05-21 15:45:35,4,Positive,Lack of relevant training,,Document Summarization,True
FB000140,U00120,2026-06-12 22:11:27,3,Neutral,No barrier reported,"Really happy with Northstar Assist overall, especially Knowledge Search.",Knowledge Search,False
FB000141,U00121,2026-06-17 11:41:45,4,Positive,No barrier reported,Knowledge Search has been a great time-saver for my day-to-day work.,Knowledge Search,True
FB000142,U00121,2026-05-26 11:54:38,5,Positive,No barrier reported,No issues to report — Code Assistant works well for what I need.,Code Assistant,True
FB000143,U00122,2026-04-17 13:37:12,2,Negative,Tool performance issue,Document Summarization was slow to respond a few times this week.,Document Summarization,True
FB000144,U00123,2026-05-20 11:18:38,3,Neutral,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Chat and Research,True
FB000145,U00125,2026-05-22 11:34:38,1,Negative,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Chat and Research,False
FB000146,U00125,2026-06-05 18:38:35,4,Positive,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Knowledge Search,True
FB000147,U00125,2026-03-17 13:43:53,5,Positive,Unsure what use cases are allowed,Guidance on approved use cases for Northstar Assist could be clearer.,Prompt Library,True
FB000148,U00126,2026-06-09 16:04:49,4,Positive,No barrier reported,,Meeting Notes,True
FB000149,U00126,2026-06-20 14:49:46,4,Positive,No barrier reported,Document Summarization has been a great time-saver for my day-to-day work.,Document Summarization,True
FB000150,U00127,2026-05-21 09:27:11,3,Neutral,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,,False
FB000151,U00128,2026-02-25 08:47:32,3,Neutral,Lack of relevant training,More role-specific training on Chat and Research would help me use it with confidence.,Chat and Research,True
FB000152,U00129,2026-03-29 22:32:28,3,Neutral,No barrier reported,Meeting Notes has been a great time-saver for my day-to-day work.,Meeting Notes,False
FB000153,U00130,2026-05-19 15:00:50,3,Neutral,Privacy or compliance concern,I'd like clearer confirmation that Data Analysis is approved for use with client information.,Data Analysis,False
FB000154,U00130,2026-05-21 11:14:44,4,Positive,Lack of relevant training,The training I received didn't cover how Code Assistant applies to my day-to-day role.,Code Assistant,True
FB000155,U00131,2026-04-10 17:17:04,5,Positive,Unsure what use cases are allowed,I'm not always clear on what I'm allowed to use Code Assistant for in client-facing work.,Code Assistant,True
FB000156,U00131,2026-05-20 11:36:08,3,Neutral,Lack of relevant training,The training I received didn't cover how Drafting Assistant applies to my day-to-day role.,Drafting Assistant,False
FB000157,U00133,2026-02-14 13:47:10,3,Neutral,Privacy or compliance concern,I'm cautious about what data I put into Knowledge Search given compliance requirements.,Knowledge Search,True
FB000158,U00133,2026-03-09 11:26:08,2,Negative,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Knowledge Search,True
FB000159,U00134,2026-05-30 14:27:07,3,Neutral,Lack of relevant training,More role-specific training on Document Summarization would help me use it with confidence.,Document Summarization,False
FB000160,U00135,2026-05-16 17:27:37,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Document Summarization.",Document Summarization,True
FB000161,U00135,2026-03-06 14:47:09,5,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Drafting Assistant.",Drafting Assistant,True
FB000162,U00136,2026-05-30 12:11:34,0,Negative,Low output quality,The output from Northstar Assist needed a lot of editing before it was usable.,,False
FB000163,U00136,2026-05-10 21:52:55,3,Neutral,No barrier reported,Document Summarization has been a great time-saver for my day-to-day work.,Document Summarization,True
FB000164,U00136,2026-06-04 10:34:09,4,Positive,Low output quality,Northstar Assist sometimes gives generic answers that don't fit our context.,,True
FB000165,U00137,2026-03-18 08:27:15,4,Positive,No barrier reported,Prompt Library has been a great time-saver for my day-to-day work.,Prompt Library,True
FB000166,U00138,2026-06-04 16:58:22,4,Positive,No barrier reported,Prompt Library has been a great time-saver for my day-to-day work.,Prompt Library,True
FB000167,U00139,2026-06-19 13:12:19,5,Negative,No barrier reported,No issues to report — Meeting Notes works well for what I need.,Meeting Notes,True
FB000168,U00139,2026-06-18 12:31:07,3,Neutral,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Chat and Research,True
FB000169,U00140,2026-06-12 18:26:36,4,Negative,No barrier reported,Meeting Notes has been a great time-saver for my day-to-day work.,Meeting Notes,True
FB000170,U00142,2026-06-02 16:19:11,3,Neutral,No time to learn,Between meetings and deadlines I haven't found the time to explore Prompt Library.,Prompt Library,False
FB000171,U00142,2026-06-08 09:27:53,5,Neutral,No barrier reported,Code Assistant has been a great time-saver for my day-to-day work.,Code Assistant,True
FB000172,U00143,2026-06-12 17:56:44,5,Positive,Unsure what use cases are allowed,Guidance on approved use cases for Northstar Assist could be clearer.,,True
FB000173,U00143,2026-05-14 15:05:47,2,Negative,Unsure what use cases are allowed,Guidance on approved use cases for Northstar Assist could be clearer.,Data Analysis,False
FB000174,U00144,2026-03-04 20:54:56,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Data Analysis.",Data Analysis,True
FB000175,U00145,2026-03-09 08:34:37,3,Neutral,Tool performance issue,Meeting Notes was slow to respond a few times this week.,Meeting Notes,False
FB000176,U00146,2026-05-17 11:24:32,3,Neutral,Low output quality,,Code Assistant,True
FB000177,U00146,2026-04-10 08:34:29,3,Neutral,No barrier reported,No issues to report — Knowledge Search works well for what I need.,Knowledge Search,False
FB000178,U00148,2026-06-09 11:18:07,3,Neutral,Hard to find the right feature,It took me a while to figure out that Northstar Assist was the right tool for what I needed.,,False
FB000179,U00148,2026-03-30 13:18:26,3,Neutral,No barrier reported,No issues to report — Drafting Assistant works well for what I need.,Drafting Assistant,False
FB000180,U00150,2026-06-07 08:45:30,4,Positive,No barrier reported,No issues to report — Chat and Research works well for what I need.,Chat and Research,False
FB000181,U00152,2026-06-18 22:56:56,3,Neutral,No time to learn,Between meetings and deadlines I haven't found the time to explore Northstar Assist.,,False
FB000182,U00154,2026-06-15 13:59:31,4,Positive,Low output quality,Meeting Notes sometimes gives generic answers that don't fit our context.,Meeting Notes,True
FB000183,U00154,2026-06-17 10:48:00,3,Neutral,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Prompt Library,False
FB000184,U00154,2026-05-19 21:02:58,5,Positive,No barrier reported,,Data Analysis,True
FB000185,U00156,2026-03-07 08:29:06,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Data Analysis.",Data Analysis,True
FB000186,U00156,2026-03-11 08:09:41,5,Positive,No barrier reported,Northstar Assist has been a great time-saver for my day-to-day work.,,True
FB000187,U00157,2026-05-31 15:16:06,4,Positive,No barrier reported,No issues to report — Chat and Research works well for what I need.,Chat and Research,False
FB000188,U00159,2026-04-15 13:17:59,4,Positive,No barrier reported,No issues to report — Document Summarization works well for what I need.,Document Summarization,True
FB000189,U00159,2026-03-14 17:56:22,2,Negative,Lack of relevant training,More role-specific training on Northstar Assist would help me use it with confidence.,,True
FB000190,U00160,2026-06-21 17:01:03,3,Neutral,No barrier reported,,Knowledge Search,False
FB000191,U00160,2026-06-20 19:59:39,4,Positive,No barrier reported,Northstar Assist has been a great time-saver for my day-to-day work.,,True
FB000192,U00160,2026-06-13 12:42:04,2,Negative,Tool performance issue,Northstar Assist was slow to respond a few times this week.,,False
FB000193,U00161,2026-03-25 12:27:45,4,Positive,Privacy or compliance concern,I'm cautious about what data I put into Meeting Notes given compliance requirements.,Meeting Notes,True
FB000194,U00161,2026-04-30 09:33:58,2,Negative,Tool performance issue,Code Assistant was slow to respond a few times this week.,Code Assistant,True
FB000195,U00162,2026-06-14 09:48:04,4,Positive,No barrier reported,,Chat and Research,True
FB000196,U00162,2026-06-18 08:05:55,4,Positive,Unsure what use cases are allowed,Guidance on approved use cases for Northstar Assist could be clearer.,,True
FB000197,U00163,2026-06-21 14:50:28,3,Neutral,Unsure what use cases are allowed,,Prompt Library,True
FB000198,U00163,2026-06-19 20:00:55,3,Neutral,Hard to find the right feature,,,True
FB000199,U00165,2026-02-19 21:52:33,4,Positive,No barrier reported,No issues to report — Knowledge Search works well for what I need.,Knowledge Search,False
FB000200,U00165,2026-03-09 10:39:48,4,Negative,No barrier reported,"Really happy with Northstar Assist overall, especially Prompt Library.",Prompt Library,True
FB000201,U00168,2026-04-30 17:03:22,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Drafting Assistant.",Drafting Assistant,True
FB000202,U00168,2026-03-15 18:46:49,5,Positive,No barrier reported,No issues to report — Drafting Assistant works well for what I need.,Drafting Assistant,True
FB000203,U00169,2026-03-21 14:58:31,5,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Code Assistant.",Code Assistant,True
